prompt,layer,row_type,raw_feature,j_feature,control_feature,raw_group_mean,raw_ci_95,raw_peak_searchlight_centre_mean,raw_peak_searchlight_centre_ci_95,raw_peak_searchlight_centre_range,j_group_mean,j_ci_95,j_peak_searchlight_centre_mean,j_peak_searchlight_centre_ci_95,j_peak_searchlight_centre_range,j_minus_raw_delta,delta_ci_95,exact_p_two_sided,bh_q_24_comparisons,bh_significant_q_lt_0_05,final_control_group_mean,final_control_ci_95,final_control_peak_searchlight_centre_mean,final_control_peak_searchlight_centre_ci_95,final_control_peak_searchlight_centre_range
visualize,8,paired_raw_j,visualize__l08__raw,visualize__l08__j,,0.008330618248378557,"[0.005392449935748685, 0.01126878656100843]",0.061874174756667344,"[0.04988594052134927, 0.07386240899198541]","[0.04332018128479831, 0.08252170542255044]",0.007353373104852567,"[0.005244034690591622, 0.009462711519113511]",0.056413084701489424,"[0.044074314317567996, 0.06875185508541086]","[0.036502453818684444, 0.08224708028137684]",-0.000977245143525991,"[-0.002442514550826211, 0.00048802426377422847]",0.15625,0.20625,FALSE,,,,,
visualize,16,paired_raw_j,visualize__l16__raw,visualize__l16__j,,0.004153445715501747,"[0.0020646548491162855, 0.0062422365818872085]",0.03303575244353851,"[0.02285492955001025, 0.04321657533706678]","[0.017462754680309445, 0.0508221045602113]",0.0039036610322932493,"[0.0017267021965373785, 0.00608061986804912]",0.029828819338945323,"[0.0226788330654902, 0.036978805612400446]","[0.018264291458763182, 0.04366145032690838]",-0.00024978468320849696,"[-0.0009161396440155909, 0.00041657027759859705]",0.4921875,0.4921875,FALSE,,,,,
visualize,23,paired_raw_j,visualize__l23__raw,visualize__l23__j,,0.022279565625961808,"[0.014416115027473399, 0.030143016224450217]",0.19890948093961924,"[0.16663364471735617, 0.23118531716188231]","[0.12479155231267214, 0.23713970929384232]",0.023541049206171352,"[0.015483357431128159, 0.03159874098121455]",0.20511762134265155,"[0.173599772004913, 0.2366354706803901]","[0.1316633252426982, 0.24468924291431904]",0.001261483580209547,"[0.00039570944199433615, 0.0021272577184247576]",0.0078125,0.01875,TRUE,,,,,
visualize,30,paired_raw_j,visualize__l30__raw,visualize__l30__j,,0.021411300339282575,"[0.013856898095694658, 0.02896570258287049]",0.1781312336679548,"[0.1527545353249006, 0.203507932011009]","[0.11518911179155111, 0.20093277655541897]",0.023056371740617886,"[0.015196517006304037, 0.030916226474931734]",0.19458385067991912,"[0.16826745757753014, 0.2209002437823081]","[0.1285796845331788, 0.21923593059182167]",0.0016450714013353058,"[0.0010778992891404063, 0.0022122435135302054]",0.0078125,0.01875,TRUE,,,,,
visualize,final,final_control,,,visualize__final,,,,,,,,,,,,,,,,0.02293069928518198,"[0.015042732924647638, 0.030818665645716323]",0.19266082742251456,"[0.16714084616566574, 0.21818080867936337]","[0.12802457436919212, 0.21639788523316383]"
plain,8,paired_raw_j,plain__l08__raw,plain__l08__j,,0.003300643506667406,"[0.0008084905247761824, 0.00579279648855863]",0.03283017936428223,"[0.025430686632376, 0.04022967209618846]","[0.02493403817061335, 0.052534961490891874]",0.002678622281202748,"[-3.885431924088509e-05, 0.005396098881646381]",0.03003315742898849,"[0.022404584473315666, 0.03766173038466131]","[0.022981650661677122, 0.05150980528560467]",-0.0006220212254646581,"[-0.00154883132311587, 0.00030478887218655405]",0.1484375,0.20625,FALSE,,,,,
plain,16,paired_raw_j,plain__l16__raw,plain__l16__j,,0.002861537512391512,"[0.0004082487420992015, 0.0053148262826838225]",0.029868879931200354,"[0.023016181552382716, 0.03672157831001799]","[0.024731320678256452, 0.04939172696322203]",0.0032540724151231023,"[0.0005414800304746662, 0.005966664799771539]",0.033455957511250745,"[0.027665852392189202, 0.03924606263031229]","[0.02518180168408435, 0.04815620870795101]",0.00039253490273159026,"[-0.0002718849131436383, 0.0010569547186068187]",0.1640625,0.20625,FALSE,,,,,
plain,23,paired_raw_j,plain__l23__raw,plain__l23__j,,0.003621310490693647,"[0.00048357645422476706, 0.006759044527162528]",0.03827422804170055,"[0.030915129388876018, 0.045633326694525085]","[0.02835709770442918, 0.05827240156941116]",0.004127725674015962,"[0.000830770516352199, 0.0074246808316797246]",0.04234938326771953,"[0.03605153924016725, 0.048647227295271815]","[0.03150577121414244, 0.0571776156721171]",0.0005064151833223136,"[-0.00016498457632077633, 0.0011778149429654034]",0.1328125,0.19921875,FALSE,,,,,
plain,30,paired_raw_j,plain__l30__raw,plain__l30__j,,0.005362452081773542,"[0.001205593139290831, 0.009519311024256252]",0.0520069090925972,"[0.04473527667943382, 0.059278541505760576]","[0.04194325511343777, 0.06532740849070251]",0.005688947625146918,"[0.0015560407474703112, 0.009821854502823526]",0.05654084784328006,"[0.04887818626847992, 0.0642035094180802]","[0.04569025943055749, 0.0707888943143189]",0.0003264955433733759,"[-0.0002005293636011202, 0.000853520450347872]",0.203125,0.23214285714285715,FALSE,,,,,
plain,final,final_control,,,plain__final,,,,,,,,,,,,,,,,0.00586490844657969,"[0.0019261734447073272, 0.009803643448452054]",0.05873851489741355,"[0.05062639308714606, 0.06685063670768104]","[0.04769270308315754, 0.07386915432289243]"
