bh_family,comparison_type,feature,feature_group_mean,feature_ci_low,feature_ci_high,baseline,baseline_group_mean,baseline_ci_low,baseline_ci_high,mean_delta,delta_ci_low,delta_ci_high,exact_p_two_sided,bh_q_within_declared_family
matched_readout_j_vs_raw_8,j_vs_raw,integrate_readout__l08__j,0.008630906256317806,0.005634667163972893,0.011627145348662719,integrate_readout__l08__raw,0.008677727404200128,0.0051802304671894955,0.01217522434121076,-4.682114788232125e-05,-0.0019379833304899348,0.0018443410347252923,0.9765625,0.9765625
matched_readout_j_vs_raw_8,j_vs_raw,integrate_readout__l16__j,0.01289011821969872,0.008858224164457525,0.016922012274939915,integrate_readout__l16__raw,0.009058051873207542,0.005853646217997431,0.012262457528417653,0.0038320663464911763,0.002300568859550523,0.00536356383343183,0.0078125,0.015625
matched_readout_j_vs_raw_8,j_vs_raw,integrate_readout__l23__j,0.02018634509768527,0.013665033254939979,0.026707656940430563,integrate_readout__l23__raw,0.02026578218353806,0.013514452003796132,0.027017112363279985,-7.943708585279028e-05,-0.0009339328265022572,0.0007750586547966766,0.828125,0.9464285714285714
matched_readout_j_vs_raw_8,j_vs_raw,integrate_readout__l30__j,0.019882958977439077,0.013442263665725205,0.026323654289152947,integrate_readout__l30__raw,0.01847335263598096,0.012373490899807686,0.024573214372154234,0.0014096063414581175,0.0007369580130913014,0.0020822546698249338,0.0078125,0.015625
matched_readout_j_vs_raw_8,j_vs_raw,minimal_readout__l08__j,0.009170689213507867,0.005825991465723871,0.012515386961291862,minimal_readout__l08__raw,0.011352484411982576,0.007725095682456309,0.014979873141508844,-0.0021817951984747113,-0.003466250931388381,-0.0008973394655610414,0.0234375,0.0375
matched_readout_j_vs_raw_8,j_vs_raw,minimal_readout__l16__j,0.008867914214269912,0.005769593048783144,0.01196623537975668,minimal_readout__l16__raw,0.008712886217578136,0.005314394335045594,0.012111378100110677,0.0001550279966917773,-0.0005359161618289166,0.0008459721552124711,0.6015625,0.8020833333333334
matched_readout_j_vs_raw_8,j_vs_raw,minimal_readout__l23__j,0.02084620773094424,0.01454804136527063,0.02714437409661785,minimal_readout__l23__raw,0.018590186679616358,0.012848560602992273,0.024331812756240443,0.002256021051327886,0.001596430620347816,0.002915611482307956,0.0078125,0.015625
matched_readout_j_vs_raw_8,j_vs_raw,minimal_readout__l30__j,0.020935714260644035,0.014769819760887735,0.027101608760400336,minimal_readout__l30__raw,0.01885519335205991,0.013111544543761757,0.024598842160358066,0.0020805209085841257,0.0013775031047446817,0.0027835387124235697,0.0078125,0.015625
matched_readout_prompt_pair_9,integrate_vs_minimal,integrate_readout__l08__raw,0.008677727404200128,0.0051802304671894955,0.01217522434121076,minimal_readout__l08__raw,0.011352484411982576,0.007725095682456309,0.014979873141508844,-0.00267475700778245,-0.005767773957125157,0.0004182599415602571,0.09375,0.421875
matched_readout_prompt_pair_9,integrate_vs_minimal,integrate_readout__l16__raw,0.009058051873207542,0.005853646217997431,0.012262457528417653,minimal_readout__l16__raw,0.008712886217578136,0.005314394335045594,0.012111378100110677,0.0003451656556294091,-0.0028723144523060723,0.0035626457635648903,0.84375,0.84375
matched_readout_prompt_pair_9,integrate_vs_minimal,integrate_readout__l23__raw,0.02026578218353806,0.013514452003796132,0.027017112363279985,minimal_readout__l23__raw,0.018590186679616358,0.012848560602992273,0.024331812756240443,0.0016755955039217047,-0.0013715452298221208,0.00472273623766553,0.2265625,0.6796875
matched_readout_prompt_pair_9,integrate_vs_minimal,integrate_readout__l30__raw,0.01847335263598096,0.012373490899807686,0.024573214372154234,minimal_readout__l30__raw,0.01885519335205991,0.013111544543761757,0.024598842160358066,-0.00038184071607895334,-0.002833312715855305,0.0020696312836973986,0.7265625,0.8173828125
matched_readout_prompt_pair_9,integrate_vs_minimal,integrate_readout__l08__j,0.008630906256317806,0.005634667163972893,0.011627145348662719,minimal_readout__l08__j,0.009170689213507867,0.005825991465723871,0.012515386961291862,-0.0005397829571900598,-0.0031638424322830783,0.0020842765179029587,0.6328125,0.8136160714285714
matched_readout_prompt_pair_9,integrate_vs_minimal,integrate_readout__l16__j,0.01289011821969872,0.008858224164457525,0.016922012274939915,minimal_readout__l16__j,0.008867914214269912,0.005769593048783144,0.01196623537975668,0.004022204005428808,0.00046313854966787077,0.007581269461189746,0.046875,0.421875
matched_readout_prompt_pair_9,integrate_vs_minimal,integrate_readout__l23__j,0.02018634509768527,0.013665033254939979,0.026707656940430563,minimal_readout__l23__j,0.02084620773094424,0.01454804136527063,0.02714437409661785,-0.0006598626332589715,-0.003856087010127545,0.002536361743609602,0.6328125,0.8136160714285714
matched_readout_prompt_pair_9,integrate_vs_minimal,integrate_readout__l30__j,0.019882958977439077,0.013442263665725205,0.026323654289152947,minimal_readout__l30__j,0.020935714260644035,0.014769819760887735,0.027101608760400336,-0.0010527552832049615,-0.0034530872027520973,0.0013475766363421743,0.3515625,0.791015625
matched_readout_prompt_pair_9,integrate_vs_minimal,integrate_readout__final,0.02061849290091749,0.013811891173949677,0.0274250946278853,minimal_readout__final,0.02138038498025114,0.015353509335842688,0.02740726062465959,-0.000761892079333647,-0.0032379289815533717,0.0017141448228860778,0.5,0.8136160714285714
